PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'13'44.isi
28/07/2026 12:13:44
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
517 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
2,117	1785233626,373	28/07/2026_12:13:46,373	1	2	2,617669224e-06	1,798432208e-06	1,149402882e-11	5,093607827e-12	3,480785809e-13	4,953552759e-13	2,713384639e-12	1,221898711e-11	4,999999912e-15	1,4603878e-13	2,077663736e-11	7,091920909e-13	5,194189669e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,249392493e-12	1,347695013e-13	8,590493632e-14	4,781292956e-14	4,999999912e-15	2,015809186e-10	6,884721959e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,886998273e-08	69,32161094	1,030822537	0	29,51686251	0,7915257917	0,05441305875	0
2,925	1785233627,181	28/07/2026_12:13:47,181	1	2	2,641792207e-06	1,789491762e-06	1,056402622e-11	4,965602148e-12	1,755391486e-13	3,934739091e-13	2,584416839e-12	1,209846372e-11	1,218315948e-13	1,488095535e-13	2,068552621e-11	5,379565608e-13	4,999999912e-15	1,618600002e-14	6,582669793e-14	4,971442705e-14	7,259505497e-12	3,270185162e-14	4,999999912e-15	4,999999912e-15	3,937649157e-14	2,004786614e-10	6,851713641e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,248016905e-08	69,34076526	0,993329557	0	29,54327383	0,7316762423	0,06763522347	0,009946562258
3,733	1785233627,989	28/07/2026_12:13:47,989	1	2	2,663426358e-06	1,750149636e-06	9,677664919e-12	5,032037287e-12	2,981662497e-13	4,54756404e-13	2,388849752e-12	1,177935267e-11	4,999999912e-15	1,080476718e-13	2,069349032e-11	6,821909032e-13	6,371563433e-14	6,375830446e-15	4,999999912e-15	4,999999912e-15	7,153408508e-12	9,233896471e-14	7,144580609e-14	5,201174303e-14	2,63376594e-14	2,003249372e-10	6,888131038e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,111319795e-08	69,40054748	0,8927195242	0	29,74690173	0,6713710974	0,04025962738	0
4,541	1785233628,797	28/07/2026_12:13:48,797	1	2	2,63770994e-06	1,758215831e-06	9,03100858e-12	4,979812569e-12	1,440519253e-13	3,231495746e-13	2,248767578e-12	1,168739064e-11	1,027001834e-13	1,946239394e-13	2,079358734e-11	5,232645914e-13	4,999999912e-15	4,999999912e-15	2,626780629e-14	3,474304855e-14	7,241165133e-12	6,8178346e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	2,00718081e-10	6,841780614e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,106759287e-08	69,56767985	0,8577756994	0	29,56184904	0,6267717675	0,08449240698	0
5,349	1785233629,605	28/07/2026_12:13:49,605	1	2	2,659052598e-06	1,754178129e-06	8,273538105e-12	4,997780401e-12	2,651034774e-13	4,19427378e-13	2,175695821e-12	1,151216709e-11	4,999999912e-15	6,042487745e-14	2,068509253e-11	6,534122202e-13	5,387442947e-14	3,878663138e-14	4,999999912e-15	4,999999912e-15	7,115797968e-12	3,714125971e-14	2,000450925e-14	6,619924335e-14	5,713413412e-14	2,014162448e-10	6,897456911e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,274117469e-08	69,63651266	0,7969442283	0	29,72650668	0,5728255542	0,02166776119	0,01336268763
6,157	1785233630,413	28/07/2026_12:13:50,413	1	2	2,635148576e-06	1,764293756e-06	7,790658743e-12	5,01880525e-12	1,56562995e-13	2,744402199e-13	2,01152311e-12	1,141199201e-11	8,668106245e-14	2,191183433e-13	2,082148169e-11	6,042294486e-13	4,999999912e-15	4,999999912e-15	1,608510146e-14	4,430485113e-14	7,255244149e-12	1,173223031e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	2,016257022e-10	6,878331238e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,038476953e-08	69,69054198	0,7495030382	0	29,63915224	0,5392219876	0,09271175909	0
6,965	1785233631,221	28/07/2026_12:13:51,221	1	2	2,622709644e-06	1,720881528e-06	7,096542971e-12	4,948535939e-12	2,148962432e-13	3,855807275e-13	2,041062198e-12	1,137851011e-11	4,999999912e-15	7,33007337e-14	2,072111059e-11	6,168647949e-13	5,756099129e-14	8,199329074e-14	3,443259404e-14	4,999999912e-15	7,124995906e-12	2,785109383e-14	4,999999912e-15	5,433233887e-14	1,046870584e-13	2,008367778e-10	6,837877486e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,230422333e-08	69,78752361	0,7639948674	0	29,6195982	0,4937995194	0,02702061646	0,04468034421
7,773	1785233632,029	28/07/2026_12:13:52,029	1	2	2,630753897e-06	1,696647701e-06	6,743663787e-12	5,091116331e-12	2,294950525e-13	2,760001971e-13	1,863446897e-12	1,125446351e-11	7,995209719e-14	2,251798195e-13	2,083756778e-11	6,54995589e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,991137629e-14	7,2478629e-12	1,620656869e-13	4,893829753e-14	4,999999912e-15	4,999999912e-15	2,020914686e-10	6,889194076e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,777271399e-08	69,79964224	0,6909102411	0	29,66658291	0,466415549	0,09456684873	0
8,581	1785233632,837	28/07/2026_12:13:52,837	1	2	2,629951723e-06	1,746797693e-06	6,13579413e-12	4,938442016e-12	1,861913943e-13	3,616568037e-13	1,946666569e-12	1,12819103e-11	3,593439023e-14	8,538882221e-14	2,072587588e-11	6,047379394e-13	3,323349015e-14	7,07046116e-14	7,042520592e-14	2,780064116e-14	7,118115125e-12	2,034988524e-14	4,999999912e-15	2,41373558e-14	1,127703684e-13	2,030029339e-10	6,7952248e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,109775269e-08	70,17750712	0,7350780024	0	29,28879688	0,4247950309	0,03483752438	0,05184213912
9,389	1785233633,645	28/07/2026_12:13:53,645	1	2	2,621122121e-06	1,714953214e-06	5,861904712e-12	4,956653143e-12	2,803853341e-13	3,24810491e-13	1,803507105e-12	1,086411256e-11	2,858064669e-14	1,811349736e-13	2,150240229e-11	7,037747663e-13	1,28719599e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,432960497e-12	1,627253833e-13	1,143575252e-13	1,594540031e-14	4,999999912e-15	2,13563528e-10	7,325164086e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,875303196e-08	70,02926475	0,4634940946	0	29,92140408	0,3850007852	0,06907387559	0
