Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0.00;104.98;0.00;104.99;0.00;0.00;59.02;17.22;32.09;180.03;457.06;180.27;454.75;450.39;80.49;0.04
10;0.00;104.97;0.00;104.94;0.00;0.00;59.00;17.22;32.08;180.03;456.57;180.30;454.38;449.42;80.49;0.04
15;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.19;32.09;180.02;456.07;180.34;454.38;449.26;80.49;0.04
20;0.00;104.99;0.00;105.00;0.00;0.00;58.98;17.20;32.08;180.01;455.17;180.38;454.83;449.46;80.49;0.04
25;0.00;105.00;0.00;104.96;0.00;0.00;59.00;17.22;32.08;180.01;454.80;180.46;457.14;451.11;80.49;0.04
30;0.00;104.97;0.00;104.99;0.00;0.00;58.98;17.20;32.07;180.01;454.46;180.49;459.03;452.62;80.49;0.04
35;0.00;104.99;0.00;104.99;0.00;0.00;59.01;17.19;32.08;180.02;454.04;180.51;461.35;454.51;80.49;0.04
40;0.00;104.99;0.00;104.94;0.00;0.00;59.02;17.20;32.08;180.02;453.95;180.51;465.75;458.14;80.49;0.04
45;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.20;32.07;180.00;453.92;180.50;468.87;460.95;80.49;0.04
50;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.20;32.06;180.00;454.16;180.44;472.26;463.91;80.49;0.04
55;0.00;105.03;0.00;104.96;0.00;0.00;59.00;17.20;32.07;180.00;454.42;180.40;479.22;470.05;80.49;0.04
60;0.00;104.99;0.00;104.99;0.00;0.00;59.01;17.25;32.06;180.01;454.79;180.36;482.42;473.00;80.49;0.04
65;0.00;105.01;0.00;104.99;0.00;0.00;58.99;17.23;32.06;180.01;455.74;180.32;485.28;475.71;80.49;0.04
70;0.00;105.03;0.00;104.94;0.00;0.00;58.99;17.20;32.05;180.02;456.32;180.24;489.49;478.06;80.49;0.04
75;0.00;104.83;2.37;105.00;0.00;0.00;58.99;17.08;32.06;180.02;456.95;180.22;490.74;481.39;80.49;0.04
80;0.00;104.97;0.00;104.99;0.00;0.00;59.01;17.17;32.05;180.01;457.58;180.20;491.48;482.32;80.49;0.04
85;0.00;105.03;0.00;104.96;0.00;0.00;58.99;17.20;32.05;180.01;458.98;180.21;491.81;482.86;80.49;0.04
90;0.00;105.00;0.00;104.99;0.00;0.00;58.99;17.20;32.05;180.01;459.64;180.26;491.56;483.01;80.49;0.04
95;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.22;32.06;180.01;460.32;180.29;491.11;482.76;80.49;0.04
100;0.00;104.99;0.00;104.96;0.00;0.00;59.01;17.20;32.05;180.03;460.97;180.33;490.51;482.33;80.49;0.04
105;0.00;105.01;0.00;104.99;0.00;0.00;58.99;17.22;32.04;180.03;462.10;180.41;489.80;481.79;80.49;0.04
110;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.23;32.05;180.03;462.62;180.45;488.10;480.43;80.49;0.04
115;0.00;105.01;0.00;104.96;0.00;0.00;59.00;17.22;32.05;180.02;463.05;180.49;487.18;479.66;80.49;0.03
120;0.00;105.00;0.00;104.99;0.00;0.00;58.99;17.22;32.05;180.01;463.82;180.51;486.21;478.83;80.49;0.03
