PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'20'52.isi
28/07/2026 12:20:52
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
18147 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
1,825	1785234054,331	28/07/2026_12:20:54,331	1	2	2,662624411e-06	1,697299808e-06	2,833772713e-13	5,181181439e-12	3,497511254e-13	9,514000915e-13	7,716722226e-12	2,271962132e-11	2,055478726e-13	2,443227912e-14	1,921220474e-11	6,698544172e-13	2,170034036e-14	4,541859103e-14	5,050994345e-14	4,999999912e-15	8,149020521e-12	1,809913574e-14	4,999999912e-15	8,537326391e-15	6,084787893e-14	7,083736375e-11	7,492328979e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,276846194e-08	41,06831874	6,292908374	0	53,43189034	0,03238992615	0,0282733752	0,2568907523
2,633	1785234055,139	28/07/2026_12:20:55,139	1	2	3,240518936e-06	2,4400249e-06	2,723815748e-12	8,686877606e-12	1,056612957e-11	2,139913073e-11	1,277747214e-10	1,635232783e-10	1,768286906e-12	8,155866119e-14	5,183963502e-12	6,975192993e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,505078156e-12	1,604125361e-13	7,075506088e-14	4,999999912e-15	4,999999912e-15	4,377461241e-11	7,006882574e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,199966739e-08	15,47762487	54,13669569	0	30,8518842	0,1925796346	0,02781857748	0
3,441	1785234055,947	28/07/2026_12:20:55,947	1	2	3,183109129e-06	2,735260523e-06	3,055253966e-12	8,457443947e-12	1,082333962e-11	2,206293481e-11	1,314974657e-10	1,679932166e-10	1,863256728e-12	3,539887567e-14	4,230410293e-12	5,785903982e-13	4,999999912e-15	4,288067704e-14	7,597446435e-14	5,318756029e-14	7,424706683e-12	2,506094358e-14	4,999999912e-15	4,999999912e-15	5,49881626e-14	3,986953476e-11	6,965895916e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,287794648e-08	14,07798971	55,71013875	0	30,65592617	0,2159717983	0,01342963296	0,0209141706
4,249	1785234056,755	28/07/2026_12:20:56,755	1	2	3,172958714e-06	2,738409421e-06	3,229396568e-12	8,628589163e-12	1,113898383e-11	2,244965845e-11	1,334207606e-10	1,703914926e-10	1,826200649e-12	8,135688439e-14	4,113413603e-12	7,287659517e-13	4,298545162e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,427977504e-12	1,607074798e-13	9,517182235e-14	4,934964045e-14	4,999999912e-15	3,781775934e-11	6,98301833e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,818489374e-08	13,33254361	56,43950094	0	30,68017918	0,227866659	0,02531609517	0
5,057	1785234057,563	28/07/2026_12:20:57,563	1	2	3,201622576e-06	2,703990958e-06	3,291695692e-12	8,5432399e-12	1,110097691e-11	2,267382462e-11	1,349931e-10	1,713641729e-10	1,943170017e-12	9,249420891e-14	3,83625293e-12	5,873799168e-13	4,999999912e-15	2,161884394e-14	6,138728306e-14	9,100405434e-14	7,448567804e-12	7,306014246e-14	4,999999912e-15	4,999999912e-15	2,618243553e-14	3,689726302e-11	6,927117213e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,538092229e-08	13,01158901	56,97076785	0	30,43355197	0,2324303199	0,04005235374	0
5,865	1785234058,371	28/07/2026_12:20:58,371	1	2	3,1724162e-06	2,713335334e-06	3,291544121e-12	8,64317732e-12	1,129004355e-11	2,287502826e-11	1,362170654e-10	1,726025156e-10	1,808516986e-12	3,281438841e-14	3,801704177e-12	7,192778274e-13	5,383173901e-14	1,636062095e-14	4,999999912e-15	4,999999912e-15	7,416983694e-12	1,3262354e-13	8,211358975e-14	6,090996983e-14	2,294213132e-14	3,60070862e-11	7,016174447e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,664267104e-08	12,6485137	57,18703646	0	30,69335712	0,2314849319	0,0007427026746	0
6,673	1785234059,179	28/07/2026_12:20:59,179	1	2	3,182059118e-06	2,767954811e-06	3,431179819e-12	8,641202337e-12	1,120781853e-11	2,283277387e-11	1,366622093e-10	1,733506255e-10	1,952048766e-12	1,265348639e-13	3,72354491e-12	5,882027179e-13	4,999999912e-15	4,999999912e-15	2,383855307e-14	8,956046625e-14	7,482545833e-12	1,13309759e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,547918556e-11	6,974357203e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,487151875e-08	12,46409062	57,43205882	0	30,52154068	0,2413390591	0,05213751976	0
7,481	1785234059,987	28/07/2026_12:20:59,987	1	2	3,201264235e-06	2,756312369e-06	3,358147311e-12	8,648419654e-12	1,137609711e-11	2,307175805e-11	1,373827302e-10	1,743208911e-10	1,818400573e-12	4,999999912e-15	3,637442127e-12	6,916440077e-13	6,767385995e-14	4,628396055e-14	4,999999912e-15	4,999999912e-15	7,361347643e-12	1,005813881e-13	5,010247994e-14	6,093712909e-14	7,84464182e-14	3,484596292e-11	6,985340084e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,523318161e-08	12,23241825	57,7157282	0	30,54918454	0,2360367684	0	0,0039831615
8,289	1785234060,795	28/07/2026_12:21:00,795	1	2	3,181821512e-06	2,713335334e-06	3,546864842e-12	8,724942643e-12	1,13215019e-11	2,297537507e-11	1,372408576e-10	1,753039519e-10	1,965844154e-12	1,624653916e-13	3,683523972e-12	6,395314508e-13	4,999999912e-15	4,999999912e-15	1,26430052e-14	6,777863454e-14	7,489636515e-12	1,757525738e-13	9,724791197e-15	4,999999912e-15	4,999999912e-15	3,466056608e-11	7,005587083e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,761484853e-08	12,126491	57,67701546	0	30,55826669	0,2484205828	0,06601415415	0,004145695938
9,097	1785234061,603	28/07/2026_12:21:01,603	1	2	3,190225016e-06	2,777520194e-06	3,393126708e-12	8,643817433e-12	1,141146466e-11	2,317663422e-11	1,373313963e-10	1,748793194e-10	1,864448049e-12	4,999999912e-15	3,548009759e-12	6,525663256e-13	5,00791967e-14	7,569118943e-14	3,731977021e-14	4,999999912e-15	7,346826272e-12	7,311446099e-14	1,984152825e-14	5,097949786e-14	9,866436959e-14	3,440319904e-11	6,993725044e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,314130993e-08	12,07237071	57,80435726	0	30,59098345	0,2384321791	0	0,03726200795
